"t1q14raw","t1q15raw","t1q16raw","t1q17raw","t1q18raw","t1q4raw","t1q5raw","t1q7raw","t1q8raw","t3q38raw","t3q39raw","t3q40raw","t3q41raw","t3q42raw","t3q10raw","t3q11raw","t3q13raw","t3q14raw","female"
NA,1,0,NA,1,0,0,1,0,NA,NA,0,0,0,1,1,1,1,TRUE
0,1,0,0,0,1,0,0,0,0,NA,0,1,0,1,0,0,0,FALSE
1,NA,0,NA,0,0,0,1,0,1,NA,0,0,0,1,1,NA,NA,TRUE
0,1,NA,NA,1,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
NA,NA,NA,1,0,1,0,0,1,NA,NA,0,0,0,NA,NA,NA,NA,TRUE
1,1,0,0,1,NA,NA,NA,NA,0,1,0,NA,0,1,0,1,0,TRUE
NA,NA,0,0,1,1,1,1,1,NA,NA,0,0,0,1,1,1,0,TRUE
0,1,0,NA,0,1,0,1,1,NA,NA,0,0,0,1,1,1,1,TRUE
1,1,NA,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,FALSE
NA,NA,0,0,1,1,0,NA,NA,NA,NA,0,0,0,1,1,1,1,TRUE
0,NA,0,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,0,1,1,FALSE
1,0,0,NA,NA,1,1,1,1,1,0,0,0,0,1,1,1,0,FALSE
1,1,0,NA,1,1,0,1,0,1,1,0,0,1,1,0,1,0,FALSE
1,1,NA,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,TRUE
1,1,NA,1,0,1,1,NA,NA,1,1,0,1,0,1,1,0,0,FALSE
0,0,1,0,0,0,0,1,1,NA,NA,0,0,1,1,1,1,1,TRUE
0,1,0,NA,1,1,1,1,1,0,1,0,0,1,1,1,1,1,TRUE
0,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,1,FALSE
0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,FALSE
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,TRUE
NA,1,1,0,0,1,1,1,0,NA,NA,1,0,0,1,1,1,0,FALSE
NA,1,0,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
NA,NA,NA,0,1,0,0,1,0,NA,NA,0,0,0,NA,NA,NA,NA,TRUE
0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,FALSE
NA,NA,0,NA,1,1,0,1,0,NA,NA,NA,0,1,0,0,1,1,FALSE
1,1,0,0,0,NA,NA,NA,NA,1,1,NA,0,0,1,1,1,1,FALSE
0,NA,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,1,TRUE
1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,FALSE
0,0,0,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,FALSE
NA,0,NA,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,TRUE
NA,1,NA,0,0,NA,NA,0,1,NA,NA,0,0,0,NA,NA,NA,NA,FALSE
1,1,0,NA,1,1,0,1,1,1,1,0,0,1,1,0,1,0,FALSE
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,FALSE
1,1,0,NA,1,1,1,1,0,1,1,0,0,1,1,1,1,0,FALSE
NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,TRUE
0,NA,0,NA,1,1,1,1,1,1,1,0,0,1,1,1,1,1,FALSE
1,1,NA,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,TRUE
NA,NA,0,NA,1,1,1,1,1,NA,NA,0,0,0,1,1,1,1,FALSE
0,1,0,NA,NA,1,1,1,0,NA,NA,0,NA,NA,1,0,1,0,FALSE
NA,NA,0,NA,1,1,1,1,0,NA,NA,0,0,0,0,1,1,0,FALSE
NA,NA,0,NA,0,1,1,1,0,0,0,0,1,1,0,0,NA,NA,FALSE
0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,FALSE
NA,NA,0,NA,NA,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
0,1,NA,0,0,NA,0,0,1,0,1,0,1,0,0,0,1,0,TRUE
NA,NA,NA,NA,NA,1,1,1,1,NA,NA,0,0,0,1,1,1,1,FALSE
0,1,NA,1,0,NA,NA,0,0,0,1,0,0,0,0,0,1,1,TRUE
NA,NA,0,NA,0,1,1,0,1,NA,NA,0,0,1,1,1,0,0,TRUE
0,NA,0,NA,NA,1,1,0,NA,0,0,0,0,0,1,1,1,0,FALSE
0,1,0,1,0,1,1,1,1,NA,NA,0,1,0,0,1,0,1,TRUE
0,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,0,0,0,FALSE
NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0,1,1,1,1,FALSE
0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,1,FALSE
0,NA,0,NA,1,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
NA,NA,0,NA,0,0,0,1,1,NA,NA,0,0,1,1,0,1,0,FALSE
NA,NA,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,TRUE
NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,0,0,1,0,0,0,TRUE
0,1,NA,NA,1,NA,NA,1,1,0,1,0,0,0,1,1,1,1,TRUE
0,1,0,0,1,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,TRUE
NA,NA,0,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,1,FALSE
NA,1,1,1,1,1,1,1,1,NA,NA,0,0,0,1,1,1,1,TRUE
0,0,0,0,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,TRUE
NA,NA,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,TRUE
NA,NA,0,NA,0,1,1,0,0,NA,NA,0,0,0,1,0,1,0,TRUE
1,1,0,NA,0,1,1,0,0,1,1,0,0,1,1,1,NA,NA,FALSE
1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
0,1,NA,0,NA,0,0,NA,NA,1,1,0,0,0,NA,NA,NA,NA,TRUE
0,1,0,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,TRUE
NA,NA,0,NA,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,TRUE
NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,FALSE
0,1,0,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,1,FALSE
1,1,NA,NA,0,NA,NA,NA,NA,1,1,0,0,NA,1,1,1,1,TRUE
0,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,TRUE
1,1,NA,1,0,NA,NA,0,1,1,1,0,NA,0,1,0,1,1,FALSE
0,1,0,NA,0,1,1,1,1,0,1,0,0,0,1,1,1,1,TRUE
1,1,0,1,0,0,NA,0,0,0,1,0,1,0,0,1,1,1,TRUE
0,1,0,1,1,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,TRUE
0,1,NA,NA,0,1,1,1,1,NA,1,0,0,0,1,1,1,1,TRUE
NA,0,0,0,1,1,1,1,1,NA,NA,0,1,1,1,1,1,1,TRUE
NA,NA,0,NA,0,1,1,1,1,0,1,0,0,1,0,0,1,1,TRUE
1,0,0,NA,1,0,1,0,1,0,0,0,0,0,1,1,1,1,TRUE
0,1,NA,NA,0,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,TRUE
1,1,0,NA,0,1,1,0,0,1,1,0,NA,0,1,1,1,1,FALSE
NA,NA,0,NA,0,0,1,1,1,1,0,0,0,0,1,1,0,1,FALSE
0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,FALSE
NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,TRUE
1,1,0,1,1,0,NA,0,NA,1,1,0,0,1,0,0,0,0,FALSE
0,1,NA,NA,NA,1,0,1,1,1,1,1,0,0,1,0,1,0,TRUE
1,1,0,NA,NA,1,1,1,1,1,1,1,0,1,1,1,1,1,FALSE
NA,NA,0,NA,0,1,1,0,0,1,NA,0,0,0,1,1,1,1,TRUE
0,1,0,NA,0,1,1,0,1,0,1,0,0,0,1,1,1,1,FALSE
NA,NA,0,0,0,1,1,1,1,NA,NA,0,0,0,NA,NA,NA,NA,TRUE
NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,FALSE
1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,FALSE
NA,NA,0,NA,1,0,1,1,1,0,1,0,1,0,1,1,1,1,FALSE
0,NA,0,0,0,1,1,NA,NA,1,1,1,0,0,1,1,1,1,TRUE
0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,FALSE
NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,FALSE
0,NA,0,NA,NA,0,0,0,0,NA,NA,0,1,1,0,0,1,0,TRUE
0,1,0,NA,0,0,0,1,1,0,1,0,0,0,1,0,1,1,TRUE
1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,TRUE
NA,NA,0,0,0,1,0,1,1,NA,NA,0,0,0,0,0,0,0,FALSE
NA,0,0,NA,NA,1,1,0,0,1,1,0,0,1,0,1,0,0,FALSE
NA,0,0,NA,1,1,1,1,1,0,0,0,0,0,1,0,1,0,FALSE
NA,NA,0,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,FALSE
0,NA,NA,NA,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,1,TRUE
1,0,0,0,0,NA,NA,NA,NA,1,0,0,NA,1,1,1,1,1,TRUE
0,1,0,0,0,1,1,1,1,0,1,NA,1,0,1,1,1,1,FALSE
1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,FALSE
0,NA,0,NA,NA,1,1,0,1,NA,NA,0,0,0,1,1,1,0,FALSE
NA,NA,0,1,1,0,0,0,1,NA,NA,0,1,1,0,1,1,1,FALSE
0,0,0,0,0,1,0,1,1,0,0,0,1,1,NA,NA,NA,NA,FALSE
NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,FALSE
0,NA,1,NA,1,1,1,NA,NA,1,1,1,0,1,1,1,1,1,TRUE
0,1,1,NA,0,1,1,1,1,0,1,1,0,1,1,1,1,1,FALSE
0,0,0,1,0,NA,1,0,0,1,1,NA,0,0,0,1,0,0,FALSE
NA,1,0,NA,0,0,1,0,1,1,1,0,0,0,1,1,1,1,TRUE
0,NA,0,0,NA,0,0,NA,NA,0,1,0,0,0,NA,NA,NA,NA,TRUE
NA,1,0,0,0,1,1,1,1,NA,NA,0,0,0,1,1,1,1,TRUE
1,1,0,NA,0,1,0,0,0,1,1,0,0,0,1,0,1,0,FALSE
1,1,1,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,FALSE
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,TRUE
NA,1,NA,NA,0,1,0,1,1,NA,NA,0,0,0,NA,NA,NA,NA,TRUE
0,1,0,1,0,1,1,1,1,NA,NA,0,0,1,1,1,1,1,TRUE
0,NA,NA,NA,1,0,0,1,1,NA,NA,0,1,0,1,1,1,1,FALSE
NA,1,NA,NA,0,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,TRUE
NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,1,FALSE
NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0,1,0,0,1,FALSE
0,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,1,1,1,FALSE
1,0,NA,NA,0,1,1,1,1,1,0,0,0,0,0,1,0,1,FALSE
0,NA,0,NA,0,NA,0,NA,NA,0,1,0,1,0,0,0,1,0,TRUE
0,1,0,NA,0,0,0,1,1,0,1,0,0,0,1,0,1,1,FALSE
1,1,0,NA,0,1,0,1,0,1,1,0,1,0,0,0,0,1,TRUE
0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,TRUE
NA,NA,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,FALSE
1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,FALSE
1,0,0,0,1,1,1,0,1,NA,NA,NA,0,0,1,1,1,1,TRUE
1,1,0,1,0,NA,NA,NA,NA,1,1,NA,0,1,1,1,1,1,TRUE
1,1,0,1,1,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,FALSE
1,0,0,NA,0,0,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
NA,NA,0,0,0,0,0,NA,NA,0,1,0,0,1,0,0,0,1,TRUE
0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,TRUE
NA,NA,0,NA,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,1,TRUE
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,FALSE
0,NA,0,NA,0,0,0,0,0,0,1,0,0,0,1,1,1,1,TRUE
0,1,NA,NA,1,1,1,1,1,0,1,0,0,1,1,1,1,0,FALSE
NA,NA,0,0,0,0,0,0,1,NA,NA,0,1,1,1,1,0,0,FALSE
0,1,0,NA,0,NA,NA,NA,NA,0,1,0,0,0,1,1,1,1,TRUE
1,1,NA,NA,0,1,1,0,0,1,1,NA,0,0,1,1,0,0,TRUE
1,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,TRUE
0,NA,0,NA,0,0,0,1,1,1,0,0,0,0,0,0,1,1,FALSE
1,1,0,NA,0,0,1,0,1,1,1,NA,0,0,1,1,1,0,FALSE
0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,NA,0,NA,1,1,0,0,1,1,0,0,0,1,0,0,1,0,FALSE
NA,NA,0,NA,0,1,1,1,1,NA,NA,0,1,0,NA,NA,NA,NA,TRUE
NA,NA,0,0,0,1,1,0,1,NA,NA,0,0,0,1,0,1,0,FALSE
0,NA,0,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,1,FALSE
NA,NA,0,NA,0,1,0,0,1,NA,NA,0,0,0,NA,NA,1,NA,TRUE
NA,NA,0,NA,0,1,1,0,1,1,NA,NA,0,0,1,1,NA,NA,TRUE
0,0,0,NA,0,1,1,0,0,0,0,0,NA,0,1,0,1,0,FALSE
0,1,0,NA,0,1,0,0,1,0,1,0,0,0,0,0,1,0,FALSE
0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,FALSE
0,NA,0,NA,1,1,1,1,0,0,NA,0,1,0,1,1,1,0,FALSE
NA,0,NA,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,1,TRUE
0,NA,0,NA,0,1,1,1,1,0,NA,0,0,0,1,1,1,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TRUE
0,NA,0,NA,1,NA,NA,1,1,0,0,0,0,0,0,NA,1,1,TRUE
1,1,NA,NA,0,NA,NA,NA,NA,1,1,0,1,0,1,0,1,1,FALSE
1,1,NA,NA,0,1,1,1,1,1,1,NA,NA,0,1,1,1,1,FALSE
NA,NA,0,0,NA,1,0,0,1,0,1,0,0,0,1,0,1,0,TRUE
0,1,NA,NA,0,NA,NA,0,0,0,1,1,1,0,1,0,0,1,TRUE
1,1,0,NA,0,1,1,1,1,1,1,1,0,1,1,1,1,1,FALSE
0,1,0,NA,1,0,1,1,0,0,0,0,0,1,0,0,0,0,FALSE
NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,1,NA,NA,NA,NA,FALSE
NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,0,1,1,0,1,0,TRUE
0,1,NA,NA,0,1,0,1,1,1,1,0,0,1,1,1,1,1,FALSE
NA,NA,NA,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,TRUE
0,1,0,NA,0,0,1,1,0,1,1,0,1,0,0,1,1,0,FALSE
0,1,0,NA,0,1,1,1,1,0,1,0,0,0,1,1,0,0,TRUE
0,NA,0,NA,0,1,1,NA,NA,1,1,0,1,1,1,1,0,1,FALSE
1,1,0,NA,1,NA,NA,NA,NA,1,1,NA,NA,0,1,1,1,1,TRUE
0,1,0,NA,1,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,TRUE
NA,NA,0,NA,1,1,1,NA,NA,1,1,0,0,0,1,1,1,1,FALSE
0,NA,0,NA,0,1,1,0,1,NA,NA,0,0,0,1,1,1,1,TRUE
1,1,0,NA,1,0,1,0,1,0,1,0,0,1,0,1,1,1,FALSE
NA,1,0,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
0,1,1,NA,0,1,0,1,0,NA,NA,0,0,0,1,0,1,0,TRUE
NA,NA,0,1,1,NA,0,NA,1,0,0,0,1,1,NA,NA,NA,NA,TRUE
0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,TRUE
NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,TRUE
NA,NA,0,NA,1,1,1,1,1,NA,NA,0,0,0,1,1,1,1,FALSE
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,FALSE
0,1,0,NA,0,1,1,1,1,0,1,0,0,0,1,1,1,0,TRUE
1,NA,0,NA,NA,0,0,1,0,1,0,0,0,1,1,1,1,1,FALSE
1,1,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,FALSE
NA,NA,0,NA,0,1,0,1,0,0,NA,0,0,1,1,0,1,0,TRUE
NA,NA,0,NA,NA,1,1,1,0,1,1,0,0,0,1,0,1,0,FALSE
1,1,NA,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,0,FALSE
0,1,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,FALSE
1,1,0,NA,1,1,1,1,1,1,1,0,1,0,1,1,1,1,FALSE
0,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,NA,NA,TRUE
NA,NA,0,0,0,NA,NA,NA,NA,0,1,1,0,1,1,1,0,0,FALSE
0,0,NA,NA,1,1,1,1,1,NA,NA,0,0,0,1,1,1,1,TRUE
0,1,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,TRUE
1,1,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,1,0,0,TRUE
0,1,0,NA,1,0,1,1,0,0,1,0,NA,0,0,1,1,1,TRUE
0,1,0,NA,0,1,1,1,NA,0,1,0,0,1,NA,NA,NA,NA,TRUE
0,NA,0,NA,1,1,NA,1,1,NA,NA,0,0,0,1,1,1,1,FALSE
1,NA,0,NA,1,1,1,0,0,1,1,0,0,0,1,1,1,1,FALSE
0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,FALSE
0,1,0,NA,1,1,1,1,1,0,1,0,0,0,1,1,1,1,TRUE
0,1,0,NA,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,TRUE
0,1,0,NA,0,0,1,1,1,NA,NA,0,0,1,1,1,1,1,FALSE
1,1,NA,NA,0,1,0,1,1,NA,NA,0,0,1,0,0,1,0,TRUE
NA,NA,0,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,0,TRUE
0,1,0,NA,NA,1,1,1,1,1,1,0,1,0,1,1,1,1,FALSE
1,1,0,0,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,0,FALSE
0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,TRUE
NA,NA,0,0,1,1,1,1,0,NA,NA,0,0,1,0,0,1,0,FALSE
NA,NA,NA,NA,NA,0,0,1,1,NA,NA,0,0,0,1,0,1,0,TRUE
1,0,0,NA,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,FALSE
0,1,0,NA,1,1,1,1,1,1,1,0,0,0,1,1,1,1,TRUE
1,0,NA,NA,0,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,TRUE
1,1,0,NA,0,1,1,1,1,1,1,0,0,0,1,1,1,1,FALSE
0,NA,0,NA,0,1,0,1,0,0,1,0,0,0,1,1,1,1,TRUE
0,NA,0,NA,0,1,1,1,1,1,1,NA,0,1,1,1,1,1,TRUE
NA,NA,0,NA,0,1,1,1,1,NA,NA,0,NA,1,1,1,1,1,FALSE
NA,NA,0,0,0,1,0,1,0,NA,1,0,0,0,1,1,1,1,TRUE
0,1,0,1,0,1,0,0,0,NA,0,0,0,1,1,1,1,1,TRUE
0,0,0,NA,0,NA,NA,NA,NA,0,1,0,NA,0,NA,NA,NA,NA,FALSE
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,0,TRUE
0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,TRUE
1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,TRUE
NA,NA,0,NA,0,1,1,0,0,NA,NA,0,0,0,1,1,0,0,TRUE
0,0,NA,NA,1,0,0,1,1,0,0,0,0,0,1,0,0,0,TRUE
1,NA,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,FALSE
1,1,0,NA,1,1,1,1,1,1,1,0,0,0,1,1,1,1,FALSE
0,NA,0,NA,0,0,0,1,0,NA,NA,0,0,1,0,0,0,0,TRUE
