"t1know1raw","t1know2raw","t1know3raw","t1know4raw","t1know5raw","t3know1raw","t3know2raw","t3know3raw","t3know4raw","t3know5raw","female"
0,NA,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,1
1,1,1,NA,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,0,0
0,1,NA,NA,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,NA,1,1,1,1,1,1,1,1,0
1,1,1,NA,1,1,1,1,1,1,1
1,NA,NA,1,1,1,1,NA,NA,1,1
0,0,1,0,0,1,1,1,1,0,0
1,0,1,1,1,NA,NA,1,1,1,1
NA,NA,1,1,0,0,0,1,1,1,1
1,1,0,0,1,1,1,1,NA,NA,0
1,1,1,1,NA,1,1,1,1,1,0
1,NA,0,0,1,1,1,1,1,1,1
1,1,1,1,0,1,NA,1,0,1,0
1,1,NA,NA,1,1,1,NA,1,1,1
1,1,1,1,NA,1,1,NA,NA,1,0
1,1,1,NA,1,1,1,1,1,1,0
NA,NA,NA,NA,0,1,1,1,1,1,0
0,NA,NA,1,1,0,1,0,1,0,0
NA,NA,1,1,1,NA,NA,1,1,1,1
1,1,NA,NA,NA,1,1,1,NA,1,1
0,0,NA,NA,1,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,1,1
0,1,NA,NA,0,NA,1,1,1,0,1
1,1,0,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1
NA,NA,1,NA,1,NA,NA,1,1,1,1
1,1,1,0,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1,1,1
NA,NA,1,1,1,1,1,1,1,1,0
NA,NA,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,NA,1,0,0,1,1,1,1,1,1
1,NA,0,NA,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
NA,NA,1,1,1,1,NA,1,1,0,0
NA,1,1,0,1,1,1,1,1,1,0
NA,NA,1,1,1,NA,NA,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,0,0
1,NA,1,1,1,NA,NA,1,1,1,0
NA,NA,1,NA,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
NA,NA,1,1,0,1,1,1,1,1,1
NA,1,1,1,1,1,1,1,1,1,1
1,1,0,NA,1,1,1,0,1,1,1
0,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,0,0,1,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
1,1,0,0,1,1,0,1,1,1,1
NA,1,1,NA,1,1,1,0,1,1,1
NA,NA,NA,NA,NA,1,NA,1,NA,NA,1
1,1,1,NA,1,1,1,1,1,1,0
1,1,1,0,1,0,1,1,1,1,1
NA,NA,1,1,1,1,1,NA,1,1,1
1,1,1,1,1,1,1,1,0,1,0
1,1,NA,NA,NA,1,1,1,NA,0,1
1,1,1,1,1,1,1,1,1,1,0
1,NA,0,NA,0,1,1,1,1,NA,0
1,1,NA,1,1,NA,NA,1,1,1,0
1,0,1,1,1,1,NA,1,1,0,1
NA,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,1,NA,NA,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,0
1,1,0,0,1,1,1,0,0,1,0
NA,NA,0,1,0,1,1,1,1,1,0
1,1,NA,NA,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
0,NA,0,0,1,1,1,1,0,1,1
1,NA,1,1,0,1,1,1,0,0,0
1,NA,NA,NA,0,1,NA,1,1,0,1
1,1,0,1,1,1,1,1,1,1,0
1,NA,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,0
0,1,1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1,0
NA,NA,NA,NA,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,0
1,1,NA,NA,0,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
0,1,0,NA,0,0,0,0,1,0,0
0,NA,NA,NA,0,1,1,1,1,1,1
NA,NA,NA,NA,1,NA,NA,0,0,1,0
1,1,1,1,0,1,1,1,1,1,0
1,NA,NA,NA,1,1,1,0,1,0,0
NA,NA,1,NA,1,1,NA,0,0,1,0
1,1,0,0,1,1,1,1,1,1,0
1,1,NA,NA,1,1,1,1,1,0,1
1,1,NA,1,1,1,1,1,1,1,1
0,0,1,1,1,1,0,1,1,0,0
1,1,NA,1,NA,1,1,1,1,1,0
0,1,NA,NA,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0
1,1,1,0,0,1,1,1,1,0,0
1,NA,NA,NA,0,1,NA,1,1,NA,0
1,1,1,NA,1,NA,NA,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1
NA,NA,NA,NA,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1,0
1,1,NA,NA,0,NA,NA,1,1,1,0
NA,1,NA,0,1,1,1,0,0,1,0
NA,NA,1,1,0,1,1,1,1,1,1
NA,NA,NA,NA,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0,1
1,0,1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,1,NA,1,NA,1
1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1,1,0
1,NA,1,NA,1,1,NA,NA,NA,1,1
1,1,NA,NA,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,1,0,0
1,1,NA,NA,NA,1,1,1,1,1,0
1,1,1,NA,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1,0
1,1,0,0,1,1,1,NA,1,1,1
1,1,1,NA,NA,1,1,1,1,1,1
1,NA,0,0,1,1,1,1,1,1,0
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
1,NA,1,NA,1,1,0,1,1,1,0
0,0,0,0,0,0,1,NA,1,0,0
1,1,1,1,0,1,1,1,1,1,0
1,1,NA,NA,0,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,0
NA,1,NA,NA,0,1,1,1,1,0,0
1,1,1,NA,1,1,1,1,1,0,1
1,NA,NA,NA,1,1,1,1,1,0,1
1,NA,0,0,0,1,1,1,1,0,0
1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1
1,NA,NA,NA,1,1,NA,1,NA,0,1
1,1,1,NA,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,0
NA,NA,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,1,1,0
1,1,1,0,NA,1,1,1,1,1,1
1,NA,1,1,1,1,1,1,1,1,0
1,NA,1,1,1,1,1,1,1,NA,0
1,NA,1,1,1,1,0,0,0,1,1
1,1,NA,NA,1,1,1,NA,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,NA,NA,NA,0,1,1,1,1,0,1
0,1,NA,1,1,NA,1,1,1,1,0
NA,NA,NA,NA,1,1,1,1,1,0,1
0,0,0,1,1,1,1,0,1,1,0
1,NA,0,0,0,1,1,1,1,0,1
0,NA,NA,NA,NA,1,1,1,1,0,0
0,0,NA,1,1,1,1,1,1,0,0
1,1,NA,NA,NA,1,1,NA,1,NA,1
1,1,NA,NA,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,NA,NA,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1
1,1,NA,1,1,1,1,1,1,1,0
0,NA,NA,NA,1,NA,NA,0,NA,0,0
1,1,1,1,1,1,1,1,1,1,0
0,0,NA,NA,0,0,NA,NA,1,1,0
1,1,0,NA,0,1,1,1,1,0,0
1,1,NA,NA,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,0,1
NA,NA,1,NA,0,NA,NA,1,1,0,0
NA,NA,1,0,1,1,NA,1,1,0,1
0,0,NA,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,0,0
1,1,1,0,1,1,1,1,1,1,0
NA,NA,1,NA,1,NA,NA,0,1,1,1
NA,NA,1,0,0,NA,NA,1,NA,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,NA,1,1,1,1,0,1
1,NA,1,1,NA,1,1,1,1,1,0
1,1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0
1,NA,1,0,1,1,0,1,1,1,1
0,1,0,1,1,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,0,0
1,NA,NA,NA,1,1,1,1,1,1,0
1,1,NA,1,1,1,1,1,1,1,0
1,NA,0,0,0,1,1,1,1,0,1
NA,NA,1,1,1,NA,NA,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,0,1,1,0
1,0,1,NA,1,1,0,1,NA,1,1
0,NA,0,NA,1,0,NA,1,1,1,0
1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,0
0,1,0,1,1,1,1,1,1,1,1
1,1,NA,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1
0,NA,1,1,1,1,1,0,1,1,1
1,0,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,NA,NA,1,1,NA,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0
1,NA,1,1,1,1,0,1,1,1,1
1,1,NA,NA,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,1
1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,0,1,1,1,0,0
0,NA,1,NA,1,0,1,1,1,1,0
NA,NA,NA,NA,NA,1,NA,1,1,NA,0
1,1,1,1,1,1,1,1,0,1,0
1,NA,NA,NA,1,1,1,1,1,1,1
1,1,NA,NA,1,NA,NA,NA,1,1,1
1,1,1,1,NA,1,1,1,1,1,0
NA,NA,0,NA,NA,NA,NA,NA,1,0,0
1,1,1,1,0,1,1,1,1,1,0
1,1,0,0,0,1,1,1,1,1,1
1,1,NA,1,0,1,1,1,1,0,0
1,NA,1,1,1,1,1,1,1,1,1
1,1,NA,NA,1,1,1,1,1,1,0
1,NA,0,0,0,1,1,1,1,1,1
1,0,NA,1,1,1,1,0,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,1,1,NA,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0,NA,1,1,1,0,1,1,1,0
NA,1,NA,NA,1,1,NA,NA,NA,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,NA,NA,1,1,1,1,1,0,0
1,1,NA,0,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1,0
NA,NA,NA,NA,NA,1,1,1,1,1,NA
NA,NA,NA,NA,NA,1,1,1,1,0,NA
NA,NA,NA,NA,NA,0,0,1,1,0,NA
NA,NA,NA,NA,NA,1,1,0,1,1,NA
NA,NA,NA,NA,NA,1,1,1,1,0,NA
NA,NA,NA,NA,NA,1,1,1,1,1,NA
NA,NA,NA,NA,NA,1,1,1,1,0,NA
NA,NA,NA,NA,NA,1,NA,1,1,0,NA
NA,NA,NA,NA,NA,1,1,1,1,1,NA
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
