"t1pk1raw","t1pk2raw","t1pk4raw","t1pk5raw","t1pk7raw","t1pk8raw","t3pk1raw","t3pk2raw","t3pk4raw","t3pk5raw","t3pk7raw","t3pk8raw","female"
0,NA,1,0,NA,1,NA,0,1,0,0,NA,1
0,0,NA,0,0,0,0,NA,1,1,0,0,1
1,NA,1,1,0,1,0,1,NA,NA,0,NA,0
0,0,0,0,0,1,1,1,0,1,0,1,1
0,1,NA,0,NA,1,0,1,1,1,1,1,1
NA,0,0,1,0,1,0,0,0,0,0,1,1
0,0,NA,0,0,1,0,0,NA,0,1,NA,1
1,0,NA,0,1,0,1,0,0,1,0,1,1
0,NA,NA,0,0,1,1,0,0,1,1,1,0
0,0,NA,1,NA,0,1,0,1,0,0,1,0
0,NA,NA,NA,0,NA,1,0,1,NA,0,NA,1
0,NA,NA,NA,0,0,1,0,1,1,1,0,1
1,NA,NA,0,0,1,1,0,0,1,0,1,0
1,0,NA,NA,0,0,1,0,1,1,1,1,0
NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,0
0,1,0,1,0,1,1,1,0,1,0,1,0
0,0,0,NA,0,1,NA,0,0,1,0,NA,1
0,0,NA,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,1,NA,1,0,0,0,1,1,1,0,0
0,0,0,0,NA,0,0,0,NA,0,1,1,1
0,0,NA,0,NA,1,0,0,0,1,1,0,0
0,NA,NA,0,NA,1,0,NA,1,1,1,1,1
1,0,NA,0,1,1,1,0,1,1,1,1,0
0,0,0,0,1,1,0,0,0,1,1,1,1
0,0,NA,0,0,1,0,0,0,NA,0,1,0
0,0,1,1,0,0,1,0,1,1,0,0,0
NA,NA,NA,NA,0,0,0,1,0,1,0,1,0
0,1,0,1,0,0,1,0,0,1,1,0,0
NA,0,NA,NA,0,1,0,0,1,NA,1,1,1
0,0,0,NA,0,NA,NA,NA,NA,NA,0,1,0
0,NA,0,0,NA,1,0,NA,1,0,1,1,1
0,NA,0,NA,0,NA,0,NA,1,NA,0,1,0
0,0,NA,0,0,0,0,1,NA,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0
0,NA,NA,NA,0,0,0,1,NA,NA,1,0,1
0,0,NA,1,NA,0,1,1,1,1,0,0,1
0,0,NA,0,0,0,0,NA,0,1,0,0,1
0,0,0,0,1,1,1,0,1,1,1,0,0
0,0,NA,NA,1,0,0,NA,1,0,0,1,1
0,0,NA,0,0,1,1,1,NA,1,0,0,0
0,NA,0,1,0,1,1,0,1,1,0,1,0
NA,1,0,0,0,0,0,1,0,0,1,0,0
NA,0,NA,0,NA,0,NA,NA,0,1,0,1,1
0,NA,NA,0,1,1,0,NA,0,0,1,1,0
0,0,0,NA,0,0,0,0,0,0,1,0,0
0,0,NA,0,1,1,1,1,1,0,0,1,0
0,0,NA,0,NA,1,0,0,0,0,1,1,1
0,0,NA,1,0,0,1,1,1,0,0,1,1
0,0,NA,1,1,0,1,0,0,1,0,1,1
0,NA,NA,NA,NA,1,NA,NA,0,NA,0,1,1
NA,0,NA,0,0,1,NA,NA,NA,0,0,1,0
0,0,NA,0,0,0,NA,0,0,1,0,0,0
0,NA,0,NA,0,1,0,0,1,0,0,1,0
0,NA,NA,0,0,1,0,0,0,1,0,1,1
0,0,NA,0,0,1,0,0,0,1,0,1,0
0,0,NA,NA,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,1,1,0,1,1,0
0,NA,0,0,0,1,0,1,0,1,0,1,1
0,NA,NA,0,1,0,0,0,0,NA,0,0,0
0,0,1,NA,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,0,0,0,NA,1,1
